,Similarity
Jakub,0.21128856368212925
Eva,0.9244734516419049
Filip,-0.2581988897471611
Karel,0.5669467095138411
Martin,0.5940885257860044
Miroslava,0.41176470588235276
Total,2.4503630667590715
Mean,
